id,latcoord,longcoord
1,522702.63N,0014357.80W
2,522702.06N,0014400.12W
3,522701.28N,0014401.99W
4,522700.13N,0014403.14W
5,522659.55N,0014404.63W
6,522659.26N,0014406.28W
7,522658.86N,0014407.20W
8L,522702.46N,0014405.65W
8C,522701.95N,0014405.09W
8R,522701.53N,0014404.60W
10,522701.80N,0014410.77W
11,522702.34N,0014409.72W
12,522702.95N,0014408.26W
13,522703.55N,0014406.80W
14,522703.82N,0014404.71W
15,522704.58N,0014402.89W
16,522705.39N,0014400.92W
20,522658.66N,0014354.05W
21,522657.87N,0014355.94W
22,522657.09N,0014357.82W
23,522656.31N,0014359.71W
24,522655.53N,0014401.59W
25,522655.15N,0014402.92W
40,522710.56N,0014407.87W
41C,522709.36N,0014410.76W
41L,522708.23N,0014411.34W
41R,522709.41N,0014409.93W
42C,522707.80N,0014414.52W
42L,522706.78N,0014415.44W
42R,522707.85N,0014413.70W
54C,522709.22N,0014416.94W
54L,522710.29N,0014416.50W
54R,522709.14N,0014417.70W
55C,522710.78N,0014413.17W
55L,522712.01N,0014412.75W
55R,522710.64N,0014413.98W
56C,522712.37N,0014409.44W
56L,522713.57N,0014408.98W
56R,522712.23N,0014410.24W
57C,522714.02N,0014405.47W
57L,522715.22N,0014405.00W
57R,522713.91N,0014406.30W
58,522715.78N,0014402.63W
59,522716.81N,0014400.63W
60,522717.72N,0014357.80W
70,522714.68N,0014423.02W
71,522715.42N,0014421.85W
72,522716.20N,0014419.97W
73,522716.98N,0014418.09W
74,522717.77N,0014416.20W
75,522718.55N,0014414.32W
76,522719.40N,0014412.25W
77,522720.16N,0014410.42W
80,522720.96N,0014411.91W
81,522721.94N,0014414.39W
82,522721.26N,0014415.61W
83L,522720.17N,0014417.29W
83C,522719.71N,0014417.97W
83R,522719.40N,0014419.16W
84L,522718.55N,0014420.96W
84C,522717.99N,0014421.53W
84R,522717.85N,0014422.92W
85L,522716.39N,0014423.81W
85C,522716.02N,0014424.71W
85R,522715.65N,0014425.60W
86L,522714.90N,0014427.40W
86C,522714.53N,0014428.30W
86R,522714.31N,0014429.01W
501,522701.17N,0014454.17W
502A,522703.09N,0014459.13W
502B,522704.42N,0014457.89W
502C,522702.57N,0014457.75W
502D,522702.93N,0014457.40W
503,522703.78N,0014502.30W
504C,522700.90N,0014506.29W
504L,522701.15N,0014505.46W
504R,522702.87N,0014508.29W
