id,latcoord,longcoord
1,532138.99N,0021626.70W
2,532138.77N,0021629.89W
4,532137.10N,0021629.72W
5,532136.63N,0021626.85W
6,532135.22N,0021629.54W
7,532135.40N,0021627.33W
8,532133.47N,0021630.04W
9,532133.77N,0021627.44W
10,532131.73N,0021630.16W
11,532132.25N,0021627.50W
12,532129.39N,0021629.43W
12L,532129.75N,0021630.62W
12R,532128.91N,0021629.21W
15,532130.37N,0021627.27W
16,532139.29N,0021622.99W
17,532139.48N,0021620.95W
18,532139.25N,0021618.00W
21,532140.68N,0021630.84W
22,532143.85N,0021634.46W
23,532142.12N,0021634.04W
24,532144.49N,0021637.14W
25,532142.48N,0021636.90W
26,532144.74N,0021639.99W
27,532142.83N,0021638.80W
28,532145.90N,0021642.40W
29,532143.47N,0021643.17W
31,532144.58N,0021644.84W
32,532145.73N,0021643.95W
41,532137.93N,0021616.22W
42,532136.08N,0021615.75W
43,532134.20N,0021615.73W
44NL,532133.04N,0021615.99W
44,532133.03N,0021615.00W
44R,532132.11N,0021615.44W
47,532132.53N,0021613.60W
48,532133.42N,0021612.63W
49,532135.40N,0021612.42W
51,532137.82N,0021608.49W
52,532138.67N,0021607.15W
53,532139.64N,0021605.53W
54,532140.75N,0021603.75W
55,532142.16N,0021601.11W
56,532141.75N,0021558.90W
57,532140.98N,0021557.50W
58,532140.16N,0021556.67W
61L,532132.33N,0021648.46W
61,532133.60N,0021649.22W
61R,532134.75N,0021648.16W
62,532136.77N,0021648.20W
62L,532136.28N,0021646.83W
62R,532137.20N,0021647.21W
63,532137.91N,0021650.29W
63L,532137.55N,0021649.49W
63R,532138.52N,0021650.73W
64,532139.64N,0021653.14W
64L,532139.54N,0021651.90W
64R,532140.23N,0021653.61W
65R,532142.55N,0021656.23W
65,532141.60N,0021655.60W
65L,532141.70N,0021654.77W
66L,532143.02N,0021658.70W
66,532143.39N,0021659.64W
66R,532143.93N,0021700.31W
67L,532144.98N,0021701.69W
67,532145.34N,0021702.67W
67R,532145.80N,0021703.45W
68L,532146.85N,0021704.84W
68,532147.07N,0021706.03W
68R,532147.67N,0021706.60W
69L,532148.72N,0021707.99W
69,532149.07N,0021708.96W
69R,532149.54N,0021709.75W
70L,532150.47N,0021711.32W
70,532150.94N,0021712.11W
70R,532151.40N,0021712.90W
71L,532152.34N,0021714.47W
71,532152.81N,0021715.26W
71R,532153.27N,0021716.05W
72L,532154.02N,0021718.57W
72,532154.57N,0021719.71W
72R,532154.98N,0021720.19W
73L,532155.94N,0021721.82W
73,532156.44N,0021723.08W
73R,532156.91N,0021723.44W
74L,532157.87N,0021725.05W
74,532158.38N,0021726.30W
74R,532158.83N,0021726.67W
80,532149.85N,0021653.02W
81,532151.49N,0021656.29W
82L,532153.83N,0021700.22W
82,532153.38N,0021659.40W
82R,532152.89N,0021658.65W
83L,532155.69N,0021703.37W
83,532155.23N,0021702.58W
83R,532154.76N,0021701.80W
84L,532157.56N,0021706.51W
84,532157.09N,0021705.73W
84R,532156.63N,0021704.94W
85L,532201.24N,0021713.93W
85,532200.74N,0021712.65W
85R,532200.27N,0021712.32W
86L,532203.24N,0021717.31W
86,532202.67N,0021715.88W
86R,532202.24N,0021715.62W
100,532136.02N,0021637.49W
101,532132.54N,0021638.00W
201,532150.51N,0021634.67W
202L,532151.11N,0021636.29W
202,532151.25N,0021635.03W
203,532152.17N,0021637.67W
204L,532153.21N,0021639.82W
204,532153.10N,0021638.77W
205,532153.99N,0021641.66W
206L,532155.23N,0021643.10W
206,532155.23N,0021642.25W
207,532156.12N,0021645.13W
208L,532157.33N,0021646.63W
208,532157.35N,0021645.75W
209,532158.18N,0021648.72W
210L,532159.53N,0021650.00W
210,532159.42N,0021649.32W
211,532200.27N,0021652.26W
212L,532201.61N,0021653.55W
212,532201.56N,0021652.89W
213,532202.37N,0021655.79W
214L,532203.72N,0021657.06W
214,532203.67N,0021656.41W
215,532204.89N,0021658.84W
216R,532206.32N,0021701.04W
217,532207.61N,0021703.20W
231,532150.58N,0021650.74W
233,532152.54N,0021654.05W
235,532153.66N,0021655.92W
237,532154.82N,0021657.88W
239,532156.23N,0021700.26W
241,532157.57N,0021702.00W
243,532158.53N,0021703.61W
