id,latcoord,longcoord
1,512308.19N,0024241.27W
2,512308.16N,0024238.97W
3,512308.25N,0024236.69W
3R,512308.34N,0024236.56W
4,512308.45N,0024233.42W
5,512306.84N,0024233.30W
6,512308.27N,0024233.44W
8E,512308.49N,0024227.34W
8W,512308.44N,0024228.55W
9E,512307.06N,0024227.21W
9W,512307.01N,0024228.41W
10E,512307.15N,0024224.56W
10W,512307.11N,0024225.76W
11E,512308.58N,0024224.69W
11W,512308.54N,0024225.90W
12,512309.92N,0024226.03W
13,512310.37N,0024220.43W
14,512309.32N,0024220.17W
14L,512309.90N,0024220.26W
15,512308.12N,0024220.05W
15L,512308.53N,0024220.13W
16,512306.92N,0024219.94W
16L,512307.15N,0024220.01W
21,512307.36N,0024248.52W
22,512308.17N,0024250.67W
23,512308.25N,0024253.02W
24,512308.16N,0024255.41W
25,512308.07N,0024257.80W
26,512307.98N,0024300.50W
29L,512306.98N,0024302.85W
29,512306.17N,0024302.22W
29R,512305.54N,0024302.71W
30L,512308.41N,0024303.00W
30,512308.05N,0024302.41W
31,512308.33N,0024310.86W
31R,512308.86N,0024310.69W
32L,512306.46N,0024310.44W
32,512306.91N,0024310.72W
32R,512307.64N,0024310.56W
33,512305.38N,0024310.57W
33L,512305.26N,0024310.32W
34,512305.27N,0024316.44W
35,512306.71N,0024316.41W
36,512308.00N,0024316.06W
