id,latcoord,longcoord
1,532012.34N,0025115.82W
2,532012.36N,0025118.98W
3,532012.25N,0025121.27W
4,532012.14N,0025123.56W
5,532012.04N,0025125.86W
6,532011.93N,0025128.15W
7,532011.94N,0025130.46W
8,532011.83N,0025132.75W
9,532011.59N,0025135.69W
10,532011.49N,0025137.98W
11,532011.65N,0025141.87W
12,532010.69N,0025146.17W
12A,532011.30N,0025145.98W
14,532011.41N,0025148.06W
32L,532009.94N,0025114.49W
32C,532008.91N,0025114.36W
32R,532008.68N,0025114.33W
33,532007.79N,0025120.92W
34,532007.69N,0025123.26W
35,532007.58N,0025125.61W
36,532007.45N,0025128.93W
37,532007.55N,0025129.58W
39,532007.20N,0025136.54W
40,532007.32N,0025139.06W
41,532007.10N,0025142.77W
51,532012.21N,0025107.86W
52,532010.67N,0025107.72W
53,532009.08N,0025107.33W
54,532012.37N,0025057.66W
55,532010.67N,0025057.37W
56,532009.09N,0025057.32W
