id,latcoord,longcoord
1,515242.68N,0002241.80W
1R,515242.12N,0002239.72W
2,515243.20N,0002243.66W
3,515244.14N,0002244.63W
4,515245.25N,0002244.67W
5,515246.33N,0002244.16W
6,515247.36N,0002242.50W
7,515248.56N,0002241.19W
8,515249.70N,0002239.73W
9,515250.83N,0002238.30W
9L,515251.55N,0002237.13W
10,515254.20N,0002243.36W
11,515253.14N,0002244.68W
12,515252.09N,0002245.99W
13,515251.04N,0002247.30W
14,515249.99N,0002248.61W
14L,515248.94N,0002249.93W
15,515247.81N,0002251.08W
15L,515246.84N,0002252.58W
15R,515248.31N,0002250.73W
20,515236.03N,0002222.24W
20R,515236.07N,0002221.86W
21,515236.57N,0002218.98W
21L,515236.41N,0002220.08W
21R,515236.78N,0002217.91W
22,515237.16N,0002215.75W
22L,515237.07N,0002216.10W
30,515303.47N,0002226.31W
31,515303.85N,0002221.68W
40,515253.00N,0002229.36W
41,515253.58N,0002226.56W
41L,515253.83N,0002225.27W
41R,515253.41N,0002227.31W
42,515254.16N,0002223.75W
42L,515254.25N,0002223.22W
42R,515253.79N,0002224.39W
44,515251.38N,0002225.42W
45,515251.96N,0002222.60W
46,515245.58N,0002225.25W
47,515245.88N,0002222.51W
48,515246.47N,0002219.68W
56,515243.18N,0002256.08W
58,515247.21N,0002258.82W
60,515252.75N,0002233.69W
61,515253.29N,0002232.34W
80,515257.10N,0002233.00W
81,515255.44N,0002240.21W
