id,latcoord,longcoord
1,491219.75N,0021146.65W
3,491219.48N,0021148.95W
4,491219.35N,0021150.78W
5,491219.22N,0021152.52W
6,491219.09N,0021154.37W
7,491217.90N,0021154.16W
8,491218.08N,0021152.31W
9,491218.18N,0021150.43W
10,491218.24N,0021148.15W
11,491217.89N,0021146.05W
12,491217.53N,0021144.07W
13,491217.19N,0021142.21W
15,491212.39N,0021140.16W
16,491212.69N,0021141.85W
17,491212.95N,0021143.56W
18,491213.31N,0021145.22W
19,491213.62N,0021146.91W
20,491214.17N,0021149.25W
21,491214.01N,0021151.63W
22,491213.84N,0021154.03W
23,491213.68N,0021156.82W
