id,latcoord,longcoord
1,510917.35N,0000953.33W
2,510915.83N,0000952.81W
3,510914.31N,0000952.28W
4,510912.38N,0000948.31W
5,510912.54N,0000945.97W
10,510918.34N,0000952.80W
11,510918.07N,0000957.14W
12,510917.80N,0000959.30W
13,510923.90N,0000957.42W
13L,510924.07N,0000956.13W
13R,510923.79N,0000958.19W
14,510917.47N,0001001.55W
15,510923.42N,0001000.94W
16,510917.17N,0001003.70W
17,510922.94N,0001004.46W
18,510916.83N,0001005.95W
19,510922.32N,0001008.98W
20,510916.57N,0001008.10W
21,510921.84N,0001012.51W
22,510916.26N,0001010.30W
23,510921.36N,0001016.03W
24,510915.96N,0001012.56W
25,510920.60N,0001020.31W
27,510915.41N,0001019.15W
28,510915.66N,0001014.71W
31,510926.08N,0001002.50W
31L,510925.98N,0001003.20W
31R,510926.26N,0001001.19W
32,510925.49N,0001006.73W
32L,510925.25N,0001008.46W
32R,510925.69N,0001005.25W
33,510926.44N,0001011.58W
33L,510927.38N,0001011.90W
33R,510925.48N,0001011.00W
34,510929.59N,0001012.64W
34L,510930.44N,0001012.57W
34R,510928.72N,0001012.36W
35,510932.42N,0001011.13W
35L,510932.96N,0001010.21W
35R,510931.65N,0001011.95W
36,510933.76N,0001007.01W
36L,510933.76N,0001005.77W
36R,510933.57N,0001008.42W
37,510933.21N,0001002.66W
38,510931.15N,0000959.80W
41,510924.14N,0001017.64W
41E,510924.23N,0001016.93W
41N,510927.18N,0001018.70W
41W,510923.97N,0001018.84W
42,510923.66N,0001021.11W
43,510923.18N,0001024.59W
43E,510923.34N,0001023.39W
43N,510926.22N,0001025.65W
43W,510923.08N,0001025.29W
46,510936.23N,0001009.60W
47,510935.27N,0001012.65W
48,510933.51N,0001015.35W
48L,510932.55N,0001016.20W
48R,510933.91N,0001014.90W
49,510930.35N,0001019.81W
49L,510930.24N,0001020.69W
49R,510930.80N,0001017.57W
50,510929.92N,0001022.95W
51,510929.45N,0001026.37W
51L,510929.36N,0001027.08W
51R,510929.63N,0001025.07W
52,510928.94N,0001030.09W
53,510928.38N,0001034.17W
53L,510928.28N,0001034.87W
53R,510928.28N,0001032.73W
54,510927.86N,0001037.85W
64,510945.82N,0001058.67W
64L,510944.83N,0001058.44W
64R,510946.43N,0001058.88W
65,510943.40N,0001057.83W
66,510940.99N,0001057.00W
66L,510940.60N,0001056.96W
66R,510941.95N,0001057.43W
68,510937.65N,0001058.51W
101,510924.83N,0001037.42W
102,510925.25N,0001034.38W
104,510920.28N,0001034.05W
105,510919.97N,0001036.23W
106,510919.60N,0001038.91W
107,510919.30N,0001041.08W
109,510919.00N,0001043.26W
110,510920.49N,0001049.76W
110L,510921.10N,0001049.26W
110R,510919.91N,0001050.48W
111,510923.65N,0001046.00W
112,510924.07N,0001042.96W
113,510924.38N,0001040.72W
130,510917.80N,0001031.37W
131,510917.38N,0001034.41W
132,510916.93N,0001037.66W
133,510916.54N,0001040.51W
134,510916.12N,0001043.55W
135,510915.72N,0001046.44W
136,510915.36N,0001049.00W
140,510912.06N,0001029.36W
141,510911.85N,0001032.93W
141L,510911.73N,0001033.84W
141R,510912.03N,0001031.68W
142,510911.33N,0001036.71W
142R,510911.39N,0001036.33W
143,510910.84N,0001040.32W
143L,510910.76N,0001040.87W
143R,510911.07N,0001038.65W
144,510910.06N,0001043.88W
144L,510910.14N,0001045.35W
144R,510910.18N,0001043.03W
145,510909.85N,0001047.51W
150,510921.12N,0001105.46W
150L,510921.24N,0001104.79W
150R,510920.93N,0001107.04W
151,510920.60N,0001109.21W
152,510920.08N,0001112.97W
152L,510920.29N,0001111.64W
152R,510919.95N,0001113.91W
153,510924.47N,0001101.88W
154,510924.11N,0001104.50W
157,510922.93N,0001113.01W
158,510922.35N,0001117.26W
159,510921.88N,0001120.10W
160,510917.43N,0001102.01W
160L,510916.69N,0001101.75W
160R,510917.94N,0001102.19W
161,510913.81N,0001100.43W
170,510907.63N,0001116.08W
171,510908.28N,0001111.31W
171L,510909.27N,0001111.69W
171R,510907.84N,0001111.19W
172,510910.01N,0001116.91W
172L,510909.08N,0001116.66W
172R,510910.51N,0001117.16W
173,510910.67N,0001112.14W
174,510912.40N,0001117.75W
175,510913.06N,0001112.97W
175L,510914.04N,0001113.35W
175R,510912.61N,0001112.85W
176,510914.79N,0001118.58W
176R,510915.30N,0001118.83W
177,510915.44N,0001113.80W
178,510917.50N,0001119.52W
180,510919.43N,0001120.19W
230,510904.25N,0001142.56W
230L,510905.00N,0001142.75W
230R,510903.65N,0001142.28W
231,510907.06N,0001143.54W
231L,510907.82N,0001143.73W
231R,510906.46N,0001143.26W
232,510909.88N,0001144.52W
232L,510910.63N,0001144.71W
232R,510909.27N,0001144.24W
233,510912.69N,0001145.50W
233L,510913.44N,0001145.69W
233R,510912.09N,0001145.22W
234,510915.50N,0001146.48W
234L,510916.26N,0001146.67W
234R,510914.90N,0001146.20W
235,510918.32N,0001147.46W
235L,510919.07N,0001147.65W
235R,510917.71N,0001147.18W
551,510927.36N,0001041.72W
552,510927.11N,0001043.53W
553,510926.61N,0001047.15W
554,510929.10N,0001048.02W
555,510930.39N,0001048.49W
557,510932.62N,0001049.26W
558,510933.19N,0001049.46W
559,510933.70N,0001049.64W
560,510935.12N,0001049.95W
561,510935.44N,0001050.06W
562,510936.59N,0001050.47W
563,510937.70N,0001050.85W
564,510938.01N,0001050.96W
565,510939.65N,0001051.53W
566,510939.96N,0001051.64W
567,510941.12N,0001052.04W
568,510942.22N,0001052.43W
569,510942.54N,0001052.54W
570,510944.17N,0001053.11W
571,510944.49N,0001053.22W
572,510945.64N,0001056.62W
573,510946.75N,0001054.00W
574,510947.07N,0001054.11W
