id,latcoord,longcoord
122,512818.92N,0002647.53W
139,512818.14N,0002644.55W
141,512819.47N,0002642.43W
216,512813.31N,0002646.75W
217,512811.87N,0002646.74W
218,512809.72N,0002646.72W
218L,512809.04N,0002646.71W
218R,512810.43N,0002646.72W
219,512806.91N,0002646.69W
220,512805.54N,0002646.68W
221,512804.69N,0002655.73W
221L,512804.69N,0002656.77W
221R,512804.69N,0002654.54W
223,512804.68N,0002659.25W
224,512804.67N,0002701.58W
225,512804.66N,0002704.07W
226,512804.65N,0002706.53W
231,512826.94N,0002641.43W
232,512824.22N,0002641.41W
233,512821.58N,0002641.39W
233L,512822.32N,0002641.39W
233R,512821.04N,0002641.38W
236,512812.62N,0002641.31W
236L,512813.28N,0002641.32W
236R,512811.90N,0002641.31W
238,512809.74N,0002641.29W
239,512807.10N,0002641.27W
241,512807.21N,0002628.72W
242,512809.78N,0002628.74W
243,512812.66N,0002628.76W
243L,512811.99N,0002628.76W
243R,512813.38N,0002628.77W
244,512815.54N,0002628.79W
246,512818.74N,0002628.81W
246L,512818.07N,0002628.81W
246R,512819.46N,0002628.82W
247,512821.62N,0002628.84W
247L,512820.88N,0002628.83W
247R,512822.33N,0002628.84W
248,512824.26N,0002628.86W
249,512826.98N,0002628.88W
251,512807.64N,0002623.30W
252,512810.04N,0002623.32W
253,512812.68N,0002623.34W
253L,512813.34N,0002623.34W
253R,512811.95N,0002623.33W
254,512815.55N,0002623.36W
254L,512816.22N,0002623.36W
254R,512814.83N,0002623.35W
255,512819.07N,0002623.39W
256,512821.40N,0002623.41W
257,512823.79N,0002623.43W
258,512826.75N,0002623.45W
258L,512827.46N,0002623.46W
258R,512826.01N,0002623.44W
301,512804.68N,0002716.02W
303,512804.66N,0002720.63W
303L,512804.66N,0002721.82W
303R,512804.67N,0002719.63W
305,512804.65N,0002725.24W
305L,512804.64N,0002726.43W
305R,512804.65N,0002724.24W
307,512804.63N,0002729.85W
309,512807.81N,0002735.03W
311,512809.02N,0002736.35W
313,512807.06N,0002739.59W
316,512805.70N,0002750.57W
317,512807.74N,0002752.80W
318,512812.15N,0002744.72W
319,512809.77N,0002755.03W
320,512814.18N,0002746.95W
321,512811.81N,0002757.26W
322,512816.22N,0002749.18W
323,512813.32N,0002740.59W
325,512815.19N,0002742.65W
326,512823.20N,0002738.90W
327,512817.06N,0002744.70W
328,512825.06N,0002740.95W
329,512818.93N,0002746.74W
330,512826.92N,0002742.99W
331,512820.80N,0002748.79W
332,512829.17N,0002745.61W
334,512829.16N,0002750.34W
335,512821.96N,0002751.76W
336,512829.14N,0002754.38W
340,512827.05N,0002759.97W
340L,512827.88N,0002800.28W
340R,512825.70N,0002759.53W
342,512823.44N,0002759.51W
351,512824.88N,0002734.02W
353,512826.39N,0002736.96W
355,512828.08N,0002738.81W
363,512813.92N,0002759.54W
364,512818.25N,0002751.42W
365,512816.79N,0002759.71W
401,512728.14N,0002653.89W
402,512727.05N,0002657.03W
403,512725.90N,0002700.26W
405,512731.71N,0002706.24W
406,512733.86N,0002703.17W
407,512735.89N,0002700.27W
408,512737.78N,0002657.57W
409,512739.66N,0002654.88W
410,512741.54N,0002652.20W
411,512743.42N,0002649.50W
412,512745.25N,0002646.89W
414,512744.71N,0002635.41W
415,512742.97N,0002636.62W
416,512742.79N,0002636.74W
417,512741.78N,0002637.43W
419,512740.50N,0002638.32W
420,512739.32N,0002639.12W
421,512737.59N,0002640.31W
422,512736.69N,0002636.06W
423,512738.84N,0002634.57W
424,512741.00N,0002633.08W
425,512743.20N,0002631.57W
429,512744.06N,0002625.51W
430,512741.85N,0002624.32W
431,512741.87N,0002620.43W
432,512741.73N,0002616.54W
440,512737.75N,0002704.58W
441,512739.57N,0002701.98W
449,512730.12N,0002714.35W
450,512730.34N,0002714.34W
451,512732.54N,0002714.27W
452,512732.77N,0002714.26W
453,512735.19N,0002714.18W
454,512738.95N,0002715.12W
455,512740.95N,0002717.32W
456,512742.95N,0002719.51W
461,512728.28N,0002709.74W
601,512746.11N,0002730.69W
602,512746.09N,0002734.55W
603,512746.08N,0002738.41W
604,512746.08N,0002742.27W
605,512746.06N,0002746.13W
606,512746.05N,0002749.96W
607,512745.77N,0002753.93W
608,512745.76N,0002757.72W
609,512745.74N,0002801.50W
611,512741.43N,0002819.11W
612,512739.62N,0002819.09W
613,512737.35N,0002819.08W
614,512737.64N,0002823.73W
615,512740.78N,0002823.76W
616,512743.90N,0002823.79W
HAP,512744.27N,0002704.97W
501,512828.22N,0002922.34W
502,512827.70N,0002920.10W
503,512827.62N,0002917.87W
505,512827.62N,0002915.29W
506,512826.36N,0002907.32W
507,512824.97N,0002907.31W
508,512823.36N,0002907.29W
509,512821.75N,0002907.28W
511,512820.36N,0002907.27W
512,512818.75N,0002907.25W
513,512816.81N,0002907.23W
514,512816.56N,0002907.23W
515,512815.12N,0002907.22W
516,512814.17N,0002907.21W
517,512813.73N,0002907.21W
518,512811.77N,0002907.19W
519,512808.36N,0002908.64W
520,512808.36N,0002911.31W
521,512808.35N,0002913.75W
522,512808.34N,0002916.34W
523,512808.33N,0002918.93W
524,512806.72N,0002919.71W
525,512806.72N,0002917.49W
526,512806.74N,0002912.56W
527,512806.75N,0002910.34W
531,512825.69N,0002858.73W
532,512823.30N,0002858.70W
533,512820.91N,0002858.68W
534,512818.51N,0002858.66W
535,512816.12N,0002858.64W
536,512813.72N,0002858.62W
537,512811.33N,0002858.60W
538,512808.93N,0002858.58W
539,512806.54N,0002858.56W
541,512806.48N,0002846.00W
542,512808.88N,0002846.03W
543,512811.27N,0002846.05W
544,512813.91N,0002846.07W
544L,512813.24N,0002846.06W
544R,512814.56N,0002846.08W
545,512816.79N,0002846.10W
545L,512816.11N,0002846.09W
545R,512817.46N,0002846.10W
546,512819.67N,0002846.12W
546L,512819.00N,0002846.12W
546R,512820.37N,0002846.13W
547,512823.10N,0002846.15W
547L,512822.42N,0002846.15W
547R,512823.84N,0002846.16W
548,512826.31N,0002846.18W
548L,512825.65N,0002846.17W
548R,512827.00N,0002846.19W
551,512806.60N,0002840.53W
552,512809.00N,0002840.55W
553,512811.39N,0002840.57W
554,512813.79N,0002840.59W
555,512816.42N,0002840.61W
556,512819.92N,0002840.64W
557,512823.35N,0002840.67W
558,512826.23N,0002840.70W
561,512826.30N,0002827.53W
562,512823.42N,0002827.50W
563,512820.05N,0002827.47W
564,512817.17N,0002827.45W
565,512813.97N,0002827.42W
566,512811.33N,0002827.40W
567,512808.94N,0002827.38W
568,512806.55N,0002827.36W
572,512821.85N,0002822.01W
573,512819.46N,0002821.99W
575,512813.65N,0002821.94W
576,512809.77N,0002821.90W
581,512804.54N,0002819.07W
582,512804.56N,0002815.58W
583,512804.57N,0002811.67W
590,512809.06N,0002809.62W
591,512811.49N,0002809.65W
592,512813.91N,0002809.67W
594,512819.59N,0002809.89W
595,512822.47N,0002809.92W
596,512825.35N,0002810.03W
