id,latcoord,longcoord
1,555155.41N,0042548.93W
1A,555156.53N,0042548.15W
2,555157.49N,0042548.33W
3,555158.64N,0042548.64W
4,555200.00N,0042549.36W
5,555201.33N,0042550.35W
6,555202.65N,0042551.09W
6A,555202.10N,0042552.06W
7,555202.59N,0042552.13W
8,555202.32N,0042553.22W
9,555201.29N,0042552.72W
10,555159.49N,0042554.18W
11,555158.56N,0042551.26W
12,555157.35N,0042550.85W
14,555155.42N,0042555.83W
15,555156.62N,0042556.45W
16,555157.95N,0042557.14W
17,555159.14N,0042557.76W
18,555200.80N,0042558.61W
19,555202.45N,0042559.46W
20,555202.37N,0042604.00W
21,555201.76N,0042606.91W
22,555159.65N,0042606.02W
23,555157.90N,0042605.11W
24,555156.52N,0042604.40W
25,555155.17N,0042603.70W
26,555154.22N,0042600.20W
27,555153.30N,0042608.66W
28,555154.97N,0042609.53W
29,555156.98N,0042610.57W
30,555159.22N,0042611.72W
30L,555158.78N,0042611.49W
30R,555200.11N,0042612.18W
31,555158.28N,0042618.14W
32,555156.61N,0042618.35W
33,555154.84N,0042616.30W
34,555152.95N,0042614.31W
35,555152.74N,0042614.31W
36,555151.42N,0042613.95W
37,555150.64N,0042626.82W
38,555151.36N,0042628.09W
39,555152.13N,0042628.20W
61,555154.19N,0042541.39W
62,555155.48N,0042541.01W
63,555156.44N,0042542.65W
64,555158.39N,0042540.43W
65,555159.81N,0042541.12W
81,555209.80N,0042554.37W
82,555208.28N,0042553.57W
