id,latcoord,longcoord
1,555647.68N,0032157.07W
1A,555646.06N,0032157.70W
1B,555644.61N,0032157.66W
2,555649.31N,0032156.89W
2A,555649.24N,0032156.75W
3,555651.08N,0032156.95W
3A,555651.16N,0032157.43W
4,555652.85N,0032157.82W
4A,555652.36N,0032157.13W
5,555654.08N,0032158.08W
6,555654.56N,0032157.43W
7,555655.29N,0032155.28W
8,555656.20N,0032153.40W
9,555656.59N,0032150.86W
9A,555656.86N,0032151.51W
10,555657.24N,0032148.18W
10A,555657.16N,0032148.40W
11,555658.08N,0032145.79W
14,555659.39N,0032143.83W
16,555656.23N,0032136.47W
17,555654.89N,0032135.37W
18,555654.65N,0032134.69W
19,555654.87N,0032133.45W
20,555654.27N,0032131.62W
21,555653.89N,0032131.41W
22,555653.60N,0032129.43W
23,555652.71N,0032128.29W
24,555652.92N,0032127.20W
25,555652.25N,0032125.01W
26,555652.08N,0032122.09W
27,555651.22N,0032120.32W
28,555650.53N,0032118.08W
29,555649.82N,0032115.82W
30,555649.13N,0032113.54W
31,555648.90N,0032110.81W
32,555648.17N,0032109.42W
33,555647.30N,0032110.78W
34,555646.03N,0032112.03W
50,555641.68N,0032011.71W
51,555640.95N,0032009.26W
52,555640.19N,0032006.83W
53,555639.43N,0032004.40W
54,555638.68N,0032001.97W
99,555645.40N,0032206.50W
100,555645.85N,0032207.04W
101,555646.32N,0032206.52W
102,555647.53N,0032207.60W
103,555649.15N,0032207.02W
104,555649.29N,0032207.67W
105,555650.18N,0032206.64W
106,555650.78N,0032207.42W
107,555651.07N,0032206.66W
108,555652.20N,0032206.97W
200,555709.20N,0032124.68W
201,555708.64N,0032122.80W
202,555708.06N,0032120.92W
203,555707.77N,0032118.51W
204,555707.14N,0032116.44W
205,555706.49N,0032114.31W
206,555705.55N,0032112.67W
207,555704.97N,0032110.74W
208,555704.19N,0032108.20W
209,555704.20N,0032108.20W
210,555701.29N,0032053.58W
211,555700.37N,0032050.56W
212,555659.42N,0032047.47W
