id,latcoord,longcoord
1L,515312.08N,0001513.67E
1,515312.62N,0001512.74E
1R,515312.95N,0001512.16E
2,515314.05N,0001510.24E
3,515315.61N,0001507.53E
4,515315.85N,0001507.12E
5,515316.71N,0001505.63E
6,515317.45N,0001504.34E
7,515317.57N,0001504.13E
8,515317.81N,0001503.72E
9L,515318.93N,0001501.77E
9,515319.41N,0001500.93E
9R,515319.90N,0001500.09E
10,515314.56N,0001517.15E
11L,515316.52N,0001513.73E
11,515316.13N,0001514.42E
11R,515315.61N,0001515.32E
12L,515318.14N,0001510.91E
12,515317.80N,0001511.51E
12R,515317.38N,0001512.23E
13L,515319.96N,0001507.75E
13,515319.63N,0001508.33E
13R,515319.05N,0001509.34E
14L,515321.92N,0001504.34E
14R,515320.92N,0001506.07E
15,515322.38N,0001503.54E
20,515321.27N,0001522.45E
21,515322.45N,0001520.39E
22,515323.80N,0001518.06E
23L,515324.91N,0001516.14E
23,515325.31N,0001515.43E
23R,515325.81N,0001514.56E
24L,515326.72N,0001512.98E
24,515326.99N,0001512.52E
24R,515327.77N,0001511.15E
30,515323.39N,0001525.74E
31,515324.31N,0001524.13E
32L,515326.13N,0001520.97E
32,515325.79N,0001521.57E
32R,515325.22N,0001522.55E
33L,515327.80N,0001518.06E
33,515327.46N,0001518.65E
33R,515326.98N,0001519.49E
34L,515329.78N,0001514.63E
34,515329.13N,0001515.74E
34R,515328.72N,0001516.47E
40,515328.04N,0001532.91E
41,515329.08N,0001531.10E
42L,515330.09N,0001529.34E
42,515330.50N,0001528.63E
42R,515330.91N,0001527.91E
43L,515331.73N,0001526.49E
43,515332.17N,0001525.72E
43R,515332.64N,0001524.90E
44L,515333.55N,0001523.32E
44,515333.84N,0001522.81E
44R,515334.74N,0001521.24E
50L,515330.87N,0001534.95E
50,515330.48N,0001535.63E
50R,515329.96N,0001536.53E
51L,515332.69N,0001531.78E
51,515332.29N,0001532.47E
51R,515331.78N,0001533.36E
52L,515334.53N,0001528.58E
52,515334.11N,0001529.31E
52R,515333.63N,0001530.15E
53L,515336.38N,0001525.36E
53R,515335.47N,0001526.95E
61L,515334.52N,0001543.54E
61,515334.97N,0001542.75E
61R,515335.44N,0001541.95E
62L,515336.39N,0001540.29E
62,515336.84N,0001539.49E
62R,515337.30N,0001538.70E
63L,515338.24N,0001537.07E
63,515338.70N,0001536.27E
63R,515339.16N,0001535.47E
64L,515340.09N,0001533.85E
64R,515341.05N,0001532.17E
70L,515336.81N,0001544.01E
70,515336.29N,0001544.93E
70R,515335.90N,0001545.61E
71L,515338.68N,0001540.76E
71,515338.16N,0001541.68E
71R,515337.77N,0001542.35E
72L,515340.51N,0001537.58E
72,515340.01N,0001538.45E
72R,515339.60N,0001539.17E
73L,515342.34N,0001534.40E
73,515341.84N,0001535.28E
73R,515341.42N,0001536.00E
74,515343.43N,0001532.51E
76,515348.00N,0001528.54E
83L,515345.50N,0001548.20E
83R,515346.47N,0001546.52E
84L,515347.46N,0001544.79E
84R,515348.43N,0001543.12E
25,515327.07N,0001508.12E
45L,515333.76N,0001518.18E
45R,515332.12N,0001515.72E
65L,515340.59N,0001528.40E
65R,515338.97N,0001525.97E
85L,515347.50N,0001538.79E
85R,515345.84N,0001536.29E
204L,515302.11N,0001442.51E
204,515302.57N,0001441.72E
204R,515303.03N,0001440.92E
204F,515301.87N,0001442.88E
205L,515303.98N,0001439.26E
205,515304.43N,0001438.46E
205R,515304.85N,0001437.67E
213L,515305.47N,0001444.67E
213,515305.01N,0001445.47E
213R,515304.56N,0001446.26E
214L,515307.35N,0001441.41E
214,515306.89N,0001442.20E
214R,515306.43N,0001443.00E
501,515251.44N,0001319.98E
502,515249.15N,0001318.81E
503,515254.90N,0001331.15E
504,515255.95N,0001332.72E
505L,515257.00N,0001334.31E
505,515257.50N,0001335.06E
505R,515257.92N,0001335.69E
506,515258.86N,0001337.09E
507,515259.83N,0001338.55E
508,515301.11N,0001340.47E
509,515303.28N,0001343.71E
510,515309.00N,0001342.49E
511,515311.14N,0001338.31E
512,515314.01N,0001332.66E
513,515316.15N,0001328.45E
514,515318.47N,0001316.57E
515,515317.70N,0001311.29E
516,515315.42N,0001312.13E
517,515316.78N,0001306.06E
518,515313.33N,0001305.64E
519,515309.71N,0001259.40E
